patient_id,name,nhs_number,dob,age,gender,ward,bay,bed,hospital_site,consultant,registrar,team,specialty,admission_date,admission_reason,days_in,patient_class,priority,escalation_flag,dnacpr,isolation,vte_status,dw_diet,dw_activity,dw_vitals,dw_investigations,dw_drains,dw_wounds,dw_examination,dw_nursing,dw_drugs,dw_barriers,obs_hr,obs_hr_flag,obs_bp,obs_bp_flag,obs_temp,obs_temp_flag,obs_o2,obs_o2_flag,obs_rr,obs_rr_flag,news_score,medications,allergies,antibiotics,abx_day,abx_review,bloods,imaging,ecg,microbiology,social_situation,mobility,discharge_plan,expected_discharge,ttl_written,procedures,operation_date,post_op_day,case_classification,alerts,tags,status,created_at,last_updated,updated_by
KCH0011,Mrs Christine White,586 725 2193,02/04/1995,31 yrs,Female,Gynae Ward,Bay 2,Bed D,King's College Hospital,Mr Thompson,Dr Elizabeth Robinson,Urology,Urology,12/02/2026,Transurethral resection prostate (TURP),5,Day Case,green,None,Pending,Droplet,Not indicated — fully mobile low risk,Nutritional supplements BD — poor intake,Mobilising well — physio goals met,HR 82 | BP 110/68 | Temp 37.1°C | O2 97% | RR 13 | NEWS 2,Hb 132 | WCC 11.2 | Plt 280 | Na 140 | K 4.0 | Cr 85 | eGFR 78 | CRP 8 | HbA1c 52,IDC in situ — UO monitoring. IV cannula.,Healing well. Sutures for removal day 10.,Cognitively improved. Chest clear. Mobile.,Compliant and motivated. Good progress,"Prednisolone 40mg OD
Omeprazole 40mg OD
Calcium + Vit D
Enoxaparin 40mg SC
Azathioprine 100mg OD",Awaiting scan result before discharge,82,ok,110/68,ok,37.1,ok,97%,ok,13,ok,2,"Prednisolone 40mg OD
Omeprazole 40mg OD
Calcium + Vit D
Enoxaparin 40mg SC
Azathioprine 100mg OD",Sulphonamides — rash,Omeprazole 40mg OD,8,18/02/2026,Hb 132 | WCC 11.2 | Plt 280 | Na 140 | K 4.0 | Cr 85 | eGFR 78 | CRP 8 | HbA1c 52,CXR: bilateral basal atelectasis — improving,,,Lives alone. Sheltered accommodation. Warden on site. Low-level support needed.,Walking with stick — improving,Not ready — awaiting physio milestones and wound review.,21/02/2026,,Transurethral resection prostate (TURP),17/02/2026,Day 0,P4 - Elective,,UROLOGY|DROPLET|DC PLAN,Active,2026-02-17T13:38:03.423705,2026-02-17T13:38:03.423705,system
KCH0012,Ms Janet Hall,340 378 6502,23/05/1989,37 yrs,Female,Ward 5A,Bay 2,Bed B,King's College Hospital,Dr Chen,Dr Karen Boateng,Gastroenterology,Gastroenterology,12/02/2026,Acute pancreatitis,5,Surgery Admit,amber,amber,Yes,CDiff,Enoxaparin 40mg SC daily,Free fluids — progressing well,Mobilising well — physio goals met,HR 102 | BP 113/62 | Temp 37.6°C | O2 95% | RR 20 | NEWS 5,Hb 88↓ | WCC 6.2 | Plt 156 | Na 142 | K 3.9 | Cr 62 | eGFR >90 | CRP 12 | Albumin 28↓,IDC in situ — UO monitoring. IV cannula.,Sternal wound — staple line intact. Clean and dry.,Cognitively improved. Chest clear. Mobile.,Compliant and motivated. Good progress,"Morphine PCA
Cyclizine 50mg TDS
Paracetamol 1g QDS IV
Metronidazole 500mg TDS IV
Co-amoxiclav 1.2g TDS IV",Nil barriers — for discharge when medically fit,102,warn,113/62,ok,37.6,ok,95%,ok,20,ok,5,"Morphine PCA
Cyclizine 50mg TDS
Paracetamol 1g QDS IV
Metronidazole 500mg TDS IV
Co-amoxiclav 1.2g TDS IV",NKDA,Metronidazole 500mg TDS IV,1,19/02/2026,Hb 88↓ | WCC 6.2 | Plt 156 | Na 142 | K 3.9 | Cr 62 | eGFR >90 | CRP 12 | Albumin 28↓,,"Sinus rhythm 72bpm, normal axis, no ST changes",Blood cultures: no growth at 48h,Independent. Drives own car. No mobility aids. Pre-op baseline excellent.,Wheelchair dependent,Complex social situation. Family meeting this week. Package of care to arrange.,26/02/2026,,Acute pancreatitis,,,P4 - Elective,AMBER — antibiotic review due. Cultures pending. Micro input requested.,GASTROENTEROLOGY|MONITOR|DNACPR|CDIFF,Active,2026-02-17T13:38:03.423750,2026-02-17T13:38:03.423750,system
KCH0013,Mr Frederick Thomas,677 778 1444,13/10/1995,31 yrs,Male,Ward 6C,Bay 4,Bed B,King's College Hospital,Dr Shah,Dr Omar Baker,Orthopaedics,Orthopaedics,06/02/2026,Elective hip replacement (R NOF #),11,Inpatient,green,None,No,,Rivaroxaban 10mg OD,Free fluids — progressing well,Bed rest — haemodynamically unstable,HR 74 | BP 120/75 | Temp 37.1°C | O2 99% | RR 14 | NEWS 1,Hb 98↓ | WCC 14.2↑ | Plt 210 | Na 136 | K 4.1 | Cr 98 | eGFR 68 | CRP 54↑ | INR 1.1,No lines in situ.,Healing well. Sutures for removal day 10.,Chest clear. Abdomen soft. Calves non-tender.,IDC in situ — monitoring UO. IV access secure,"Meropenem 1g TDS IV
Vancomycin IV — levels
Furosemide 80mg BD
Enoxaparin 40mg SC
Insulin sliding scale",No barriers identified,74,ok,120/75,ok,37.1,ok,99%,ok,14,ok,1,"Meropenem 1g TDS IV
Vancomycin IV — levels
Furosemide 80mg BD
Enoxaparin 40mg SC
Insulin sliding scale",NKDA,Meropenem 1g TDS IV,2,21/02/2026,Hb 98↓ | WCC 14.2↑ | Plt 210 | Na 136 | K 4.1 | Cr 98 | eGFR 68 | CRP 54↑ | INR 1.1,"CXR: cardiomegaly, upper lobe diversion","Normal sinus rhythm, LBBB — old",,Complex social situation. Homeless pre-admission. SW involved. Awaiting placement.,Wheelchair dependent,Rehab unit transfer pending — OT assessment complete.,17/02/2026,,Elective hip replacement (R NOF #),09/02/2026,Day 8,P4 - Elective,,ORTHOPAEDICS,Active,2026-02-17T13:38:03.423794,2026-02-17T13:38:03.423794,system
KCH0014,Mr Stephen Young,419 689 7149,19/01/1985,41 yrs,Male,Cardiac HDU,Bay 1,Bed B,King's College Hospital,Mr Harrington,Dr Daniel Asante,Medicine,Medicine,28/01/2026,Cellulitis — IV antibiotics,20,Day Case,green,None,Yes,Contact,Mechanical — TED stockings only,Low-sodium cardiac diet. Eating 80% meals,Mobilising well — physio goals met,HR 85 | BP 113/83 | Temp 37.1°C | O2 98% | RR 16 | NEWS 1,Hb 98↓ | WCC 14.2↑ | Plt 210 | Na 136 | K 4.1 | Cr 98 | eGFR 68 | CRP 54↑ | INR 1.1,No lines in situ.,Port sites clean. Day 2 post-op. No concerns.,Examination unremarkable. Improving.,Pressure area care — repositioning 2-hourly,"Co-amoxiclav 625mg TDS
Paracetamol 1g QDS
Oxycodone 5mg PRN
Enoxaparin 40mg SC
Omeprazole 20mg OD",Cognitive assessment incomplete,85,ok,113/83,ok,37.1,ok,98%,ok,16,ok,1,"Co-amoxiclav 625mg TDS
Paracetamol 1g QDS
Oxycodone 5mg PRN
Enoxaparin 40mg SC
Omeprazole 20mg OD",NKDA,Omeprazole 20mg OD,2,22/02/2026,Hb 98↓ | WCC 14.2↑ | Plt 210 | Na 136 | K 4.1 | Cr 98 | eGFR 68 | CRP 54↑ | INR 1.1,"X-ray hip: implant in good position, no loosening",,,Lives alone. Sheltered accommodation. Warden on site. Low-level support needed.,Fully mobile — independent,Not ready — awaiting physio milestones and wound review.,20/02/2026,Complete,Cellulitis — IV antibiotics,,,P1b - Urgent - Procedure needed within 72 hours,,MEDICINE|DNACPR|CONTACT,Active,2026-02-17T13:38:03.423871,2026-02-17T13:38:03.423871,system
KCH0015,Mr Frederick Ahmed,606 971 6325,11/01/1950,76 yrs,Male,Surgical Ward 2,Bay 3,Bed C,King's College Hospital,Mr Adeyemi,Dr Miriam Boateng,General Surgery,General Surgery,08/02/2026,Elective lap cholecystectomy,9,Day Case,green,None,Yes,,Apixaban 2.5mg BD,Diabetic diet. Good intake. HbA1c optimisation ongoing,Wheelchair transfers only,HR 60 | BP 126/71 | Temp 36.3°C | O2 99% | RR 15 | NEWS 2,Hb 98↓ | WCC 14.2↑ | Plt 210 | Na 136 | K 4.1 | Cr 98 | eGFR 68 | CRP 54↑ | INR 1.1,Chest drain in situ — draining serosanguinous fluid.,Wound dehiscence — TVN referral made. Dressing daily.,Chest clear. Mild abdominal tenderness — expected post-op.,Family very anxious — need update today,"Amoxicillin 500mg TDS
Metronidazole 400mg TDS
Paracetamol 1g QDS
Dalteparin 5000u SC",No barriers identified,60,ok,126/71,ok,36.3,ok,99%,ok,15,ok,2,"Amoxicillin 500mg TDS
Metronidazole 400mg TDS
Paracetamol 1g QDS
Dalteparin 5000u SC",Codeine — nausea,Amoxicillin 500mg TDS,8,21/02/2026,Hb 98↓ | WCC 14.2↑ | Plt 210 | Na 136 | K 4.1 | Cr 98 | eGFR 68 | CRP 54↑ | INR 1.1,CXR: bilateral basal atelectasis — improving,AF with fast ventricular response — rate controlled,,Complex social situation. Homeless pre-admission. SW involved. Awaiting placement.,Wheelchair dependent,Not ready — awaiting physio milestones and wound review.,19/02/2026,Written,Elective lap cholecystectomy,16/02/2026,Day 1,P2b - Procedure can be deferred for up to 1 month,,GENERAL SURGERY|DNACPR,Active,2026-02-17T13:38:03.423927,2026-02-17T13:38:03.423927,system
KCH0016,Mr Mark Harris,880 806 4033,24/09/1983,43 yrs,Male,CCU,Bay 3,Bed C,King's College Hospital,Mr Harrington,Dr Arthur Lewis,General Surgery,General Surgery,09/02/2026,Perforated appendix — appendicectomy,8,Surgery Admit,urgent,escalate,No,,Apixaban 2.5mg BD,NBM — return to theatre possible,"Fully mobile, no restrictions",HR 105 | BP 79/40 | Temp 39.0°C | O2 89% | RR 26 | NEWS 7,Hb 105↓ | WCC 22.1↑↑ | Plt 420↑ | Na 134↓ | K 3.6 | Cr 118↑ | eGFR 52 | CRP 180↑ | PCT 4.2↑,Chest drain removed day 2. Cannula only.,Port sites clean. Day 2 post-op. No concerns.,Chest clear. Abdomen soft. Calves non-tender.,Wound soaking dressings — concern re infection,"Aspirin 75mg OD
Atorvastatin 80mg ON
Bisoprolol 2.5mg OD
Ramipril 5mg OD
Enoxaparin 40mg SC",NHS continuing healthcare assessment pending,105,warn,79/40,bad,39.0,bad,89%,bad,26,bad,7,"Aspirin 75mg OD
Atorvastatin 80mg ON
Bisoprolol 2.5mg OD
Ramipril 5mg OD
Enoxaparin 40mg SC",Sulphonamides — rash,,,,Hb 105↓ | WCC 22.1↑↑ | Plt 420↑ | Na 134↓ | K 3.6 | Cr 118↑ | eGFR 52 | CRP 180↑ | PCT 4.2↑,,Sinus tachycardia 104bpm,Sputum: Strep pneumoniae — pen-sensitive,Lives with spouse (frail). Both need POC arranging. Carer's assessment requested.,Fully mobile — independent,Home tomorrow if clinically stable overnight.,,,Perforated appendix — appendicectomy,14/02/2026,Day 3,P2b - Procedure can be deferred for up to 1 month,URGENT — sepsis suspected. Lactate elevated. Cultures pending. Sepsis 6 initiated.,GENERAL SURGERY|URGENT,Active,2026-02-17T13:38:03.423966,2026-02-17T13:38:03.423966,system
KCH0017,Mr Andrew Roberts,221 671 7818,03/04/1960,66 yrs,Male,Medical Ward 3,Bay 4,Bed D,King's College Hospital,Mr Adeyemi,Dr Ngozi Nelson,General Surgery,General Surgery,07/02/2026,Anterior resection (colorectal Ca),10,Surgery Admit,amber,amber,No,MRSA,Mechanical — TED stockings only,Low-sodium cardiac diet. Eating 80% meals,Mobilising well — physio goals met,HR 99 | BP 103/79 | Temp 38.4°C | O2 93% | RR 22 | NEWS 3,Hb 132 | WCC 11.2 | Plt 280 | Na 140 | K 4.0 | Cr 85 | eGFR 78 | CRP 8 | HbA1c 52,No drains. Peripheral cannula in situ.,Healing well. Sutures for removal day 10.,Bibasal crepitations — improving. Abdomen soft.,Pressure area care — repositioning 2-hourly,"Amoxicillin 500mg TDS
Metronidazole 400mg TDS
Paracetamol 1g QDS
Dalteparin 5000u SC",Family not yet informed of diagnosis,99,warn,103/79,warn,38.4,warn,93%,warn,22,warn,3,"Amoxicillin 500mg TDS
Metronidazole 400mg TDS
Paracetamol 1g QDS
Dalteparin 5000u SC",NSAID — GI intolerance,Amoxicillin 500mg TDS,5,18/02/2026,Hb 132 | WCC 11.2 | Plt 280 | Na 140 | K 4.0 | Cr 85 | eGFR 78 | CRP 8 | HbA1c 52,CT chest: no PE. Bilateral consolidation — improving,"AF rate 88bpm, no ST changes",,Independent. Drives own car. No mobility aids. Pre-op baseline excellent.,Fully mobile — independent,Awaiting cardiology outpatient slot before discharge.,20/02/2026,Written,Anterior resection (colorectal Ca),16/02/2026,Day 1,P1b - Urgent - Procedure needed within 72 hours,MONITOR — persistent pyrexia. Source unclear. Repeat bloods today.,GENERAL SURGERY|MONITOR|MRSA,Active,2026-02-17T13:38:03.424016,2026-02-17T13:38:03.424016,system
KCH0018,Mr Graham Roberts,911 414 5728,02/03/1989,37 yrs,Male,Medical Ward 3,Bay 3,Bed D,King's College Hospital,Mr Thompson,Dr Stephen Sharma,Cardiology,Cardiology,15/02/2026,Heart failure exacerbation,2,Day Case,amber,amber,Pending,Droplet,Mechanical — TED stockings only,Soft/purée — thin fluids safe with chin tuck,"Mobilising with zimmer frame, physio BD",HR 93 | BP 120/79 | Temp 37.4°C | O2 93% | RR 17 | NEWS 6,Hb 105↓ | WCC 22.1↑↑ | Plt 420↑ | Na 134↓ | K 3.6 | Cr 118↑ | eGFR 52 | CRP 180↑ | PCT 4.2↑,No lines in situ.,Sternal wound — staple line intact. Clean and dry.,Cognitively improved. Chest clear. Mobile.,Family very anxious — need update today,"Heparin infusion (ACS protocol)
Ticagrelor 90mg BD
Aspirin 75mg OD
GTN spray PRN
Furosemide 40mg IV",Cognitive assessment incomplete,93,ok,120/79,ok,37.4,ok,93%,warn,17,ok,6,"Heparin infusion (ACS protocol)
Ticagrelor 90mg BD
Aspirin 75mg OD
GTN spray PRN
Furosemide 40mg IV",NKDA,,,,Hb 105↓ | WCC 22.1↑↑ | Plt 420↑ | Na 134↓ | K 3.6 | Cr 118↑ | eGFR 52 | CRP 180↑ | PCT 4.2↑,"MRI spine: L4/5 disc prolapse, no cord compression","Sinus rhythm 72bpm, normal axis, no ST changes",,Lives with spouse. Fully independent pre-admission. No care package needed.,Mobilising with frame,Discharge today if bloods acceptable. TTL with pharmacy.,01/03/2026,Complete,Heart failure exacerbation,,,P2b - Procedure can be deferred for up to 1 month,AMBER — antibiotic review due. Cultures pending. Micro input requested.,CARDIOLOGY|MONITOR|DROPLET,Active,2026-02-17T13:38:03.424055,2026-02-17T13:38:03.424055,system
KCH0019,Ms Pauline Mensah,422 358 6296,15/02/1994,32 yrs,Female,Medical Ward 3,Bay 1,Bed D,King's College Hospital,Ms Williams,Dr John White,Orthopaedics,Orthopaedics,31/01/2026,Total knee replacement,17,Surgery Admit,green,None,No,,Apixaban 2.5mg BD,Soft diet — SALT assessment complete,Sit in chair twice daily. Sternal precautions,HR 79 | BP 134/80 | Temp 37.0°C | O2 96% | RR 13 | NEWS 1,Hb 144 | WCC 7.6 | Plt 210 | Na 139 | K 4.1 | Cr 78 | eGFR 84 | CRP 6 | All within normal limits,No drains. Peripheral cannula in situ.,Port sites clean. Day 2 post-op. No concerns.,Chest clear. Abdomen soft. Calves non-tender.,"Night-time confusion, falls risk HIGH","Prednisolone 40mg OD
Omeprazole 40mg OD
Calcium + Vit D
Enoxaparin 40mg SC
Azathioprine 100mg OD",No barriers identified,79,ok,134/80,ok,37.0,ok,96%,ok,13,ok,1,"Prednisolone 40mg OD
Omeprazole 40mg OD
Calcium + Vit D
Enoxaparin 40mg SC
Azathioprine 100mg OD",Codeine — nausea,Omeprazole 40mg OD,3,20/02/2026,Hb 144 | WCC 7.6 | Plt 210 | Na 139 | K 4.1 | Cr 78 | eGFR 84 | CRP 6 | All within normal limits,CXR: bilateral basal atelectasis — improving,"Sinus rhythm 72bpm, normal axis, no ST changes",Blood cultures: no growth at 48h,Complex social situation. Homeless pre-admission. SW involved. Awaiting placement.,Mobilising with crutches NWB,Not ready — awaiting physio milestones and wound review.,17/02/2026,Complete,Total knee replacement,11/02/2026,Day 6,P4 - Elective,,ORTHOPAEDICS|DC PLAN,Active,2026-02-17T13:38:03.424106,2026-02-17T13:38:03.424106,system
KCH0020,Ms Priya Robinson,713 620 3236,13/04/1980,46 yrs,Female,Medical Ward 3,Bay 3,Bed C,King's College Hospital,Ms Robertson,Dr James Lewis,Cardiac Surgery,Cardiac Surgery,24/01/2026,Aortic dissection type A repair,24,Day Case,urgent,escalate,No,MRSA,Rivaroxaban 10mg OD,Soft/purée — thin fluids safe with chin tuck,Wheelchair transfers only,HR 126 | BP 88/58 | Temp 39.5°C | O2 91% | RR 24 | NEWS 10,Hb 88↓ | WCC 6.2 | Plt 156 | Na 142 | K 3.9 | Cr 62 | eGFR >90 | CRP 12 | Albumin 28↓,No lines in situ.,Healing well. Sutures for removal day 10.,Examination unremarkable. Improving.,"Night-time confusion, falls risk HIGH","Prednisolone 40mg OD
Omeprazole 40mg OD
Calcium + Vit D
Enoxaparin 40mg SC
Azathioprine 100mg OD",No barriers identified,126,bad,88/58,bad,39.5,bad,91%,warn,24,warn,10,"Prednisolone 40mg OD
Omeprazole 40mg OD
Calcium + Vit D
Enoxaparin 40mg SC
Azathioprine 100mg OD",NKDA,Omeprazole 40mg OD,8,20/02/2026,Hb 88↓ | WCC 6.2 | Plt 156 | Na 142 | K 3.9 | Cr 62 | eGFR >90 | CRP 12 | Albumin 28↓,"CT abdomen: no free gas, no collection",Sinus bradycardia 48bpm,,Lives alone. Son visits daily. House has stairs — OT assessment pending.,Mobilising with frame,Awaiting cardiology outpatient slot before discharge.,,,Aortic dissection type A repair,02/02/2026,Day 15,P2a - Procedure can be deferred for up to 2 weeks,URGENT — sepsis suspected. Lactate elevated. Cultures pending. Sepsis 6 initiated.,CARDIAC SURGERY|URGENT|MRSA,Active,2026-02-17T13:38:03.424155,2026-02-17T13:38:03.424155,system
KCH0021,Mrs Susan Carter,247 519 3529,01/12/1940,86 yrs,Female,Thoracic Ward,Bay 3,Bed D,King's College Hospital,Dr Gupta,Dr Stephen King,Cardiac Surgery,Cardiac Surgery,26/01/2026,Aortic dissection type A repair,22,Inpatient,urgent,escalate,No,MRSA,Enoxaparin 40mg SC daily,Low-sodium cardiac diet. Eating 80% meals,"Fully mobile, no restrictions",HR 112 | BP 80/60 | Temp 39.0°C | O2 91% | RR 30 | NEWS 7,Hb 132 | WCC 11.2 | Plt 280 | Na 140 | K 4.0 | Cr 85 | eGFR 78 | CRP 8 | HbA1c 52,No drains. Peripheral cannula in situ.,Sternal wound — staple line intact. Clean and dry.,Chest clear. Abdomen soft. Calves non-tender.,Pressure area care — repositioning 2-hourly,"Heparin infusion (ACS protocol)
Ticagrelor 90mg BD
Aspirin 75mg OD
GTN spray PRN
Furosemide 40mg IV",Cognitive assessment incomplete,112,warn,80/60,bad,39.0,bad,91%,warn,30,bad,7,"Heparin infusion (ACS protocol)
Ticagrelor 90mg BD
Aspirin 75mg OD
GTN spray PRN
Furosemide 40mg IV",Penicillin — rash,,,,Hb 132 | WCC 11.2 | Plt 280 | Na 140 | K 4.0 | Cr 85 | eGFR 78 | CRP 8 | HbA1c 52,,AF with fast ventricular response — rate controlled,,Lives with family. Good support network. Daughter is main carer.,Bed-bound — hoist transfers,Rehab unit transfer pending — OT assessment complete.,,Written,Aortic dissection type A repair,12/02/2026,Day 5,P2b - Procedure can be deferred for up to 1 month,CRITICAL — post-op deterioration. Surgical review now. Return to theatre possible.,CARDIAC SURGERY|URGENT|MRSA,Active,2026-02-17T13:38:03.424203,2026-02-17T13:38:03.424203,system
KCH0022,Mrs Miriam Asante,724 991 7267,06/02/1977,49 yrs,Female,Gynae Ward,Bay 2,Bed B,King's College Hospital,Mr Thompson,Dr Ali Mitchell,General Surgery,General Surgery,08/02/2026,Inguinal hernia repair,9,Surgery Admit,green,None,Yes,CDiff,Enoxaparin 40mg SC daily,Low-sodium cardiac diet. Eating 80% meals,Weight-bearing as tolerated with crutches,HR 85 | BP 124/74 | Temp 37.0°C | O2 97% | RR 12 | NEWS 1,Hb 105↓ | WCC 22.1↑↑ | Plt 420↑ | Na 134↓ | K 3.6 | Cr 118↑ | eGFR 52 | CRP 180↑ | PCT 4.2↑,No drains. Peripheral cannula in situ.,Healing well. Sutures for removal day 10.,Cognitively improved. Chest clear. Mobile.,Pressure area care — repositioning 2-hourly,"Co-amoxiclav 625mg TDS
Paracetamol 1g QDS
Oxycodone 5mg PRN
Enoxaparin 40mg SC
Omeprazole 20mg OD",Nil barriers — for discharge when medically fit,85,ok,124/74,ok,37.0,ok,97%,ok,12,ok,1,"Co-amoxiclav 625mg TDS
Paracetamol 1g QDS
Oxycodone 5mg PRN
Enoxaparin 40mg SC
Omeprazole 20mg OD",NKDA,Omeprazole 20mg OD,10,20/02/2026,Hb 105↓ | WCC 22.1↑↑ | Plt 420↑ | Na 134↓ | K 3.6 | Cr 118↑ | eGFR 52 | CRP 180↑ | PCT 4.2↑,"CT abdomen: no free gas, no collection",AF with fast ventricular response — rate controlled,,Lives alone. Son visits daily. House has stairs — OT assessment pending.,Mobilising with crutches NWB,Step-down to ward from HDU — discharge planning to begin.,20/02/2026,,Inguinal hernia repair,08/02/2026,Day 9,P4 - Elective,,GENERAL SURGERY|DNACPR|CDIFF,Active,2026-02-17T13:38:03.424250,2026-02-17T13:38:03.424250,system
KCH0023,Ms Christine Sharma,735 356 3240,21/04/1970,56 yrs,Female,Ward 4B,Bay 3,Bed D,King's College Hospital,Dr Shah,Dr Blessing Scott,Orthopaedics,Orthopaedics,24/01/2026,Hip hemiarthroplasty (NOF #),24,Inpatient,amber,amber,No,CDiff,Apixaban 2.5mg BD,Free fluids — progressing well,Wheelchair transfers only,HR 84 | BP 105/69 | Temp 37.5°C | O2 96% | RR 17 | NEWS 3,Hb 118 | WCC 9.8 | Plt 195 | Na 137 | K 4.3 | Cr 95 | eGFR 72 | CRP 45↑ | INR 2.8,PICC line in situ. Arterial line R radial.,Sternal wound — staple line intact. Clean and dry.,Chest clear. Abdomen soft. Calves non-tender.,Patient refusing medications at times,"Metoprolol 25mg BD
Furosemide 40mg OD
Spironolactone 25mg OD
Warfarin — INR target 2-3
Digoxin 125mcg OD",Nil barriers — for discharge when medically fit,84,ok,105/69,warn,37.5,ok,96%,ok,17,ok,3,"Metoprolol 25mg BD
Furosemide 40mg OD
Spironolactone 25mg OD
Warfarin — INR target 2-3
Digoxin 125mcg OD",Sulphonamides — rash,,,,Hb 118 | WCC 9.8 | Plt 195 | Na 137 | K 4.3 | Cr 95 | eGFR 72 | CRP 45↑ | INR 2.8,"USS abdomen: gallstones, CBD 4mm — normal",AF with fast ventricular response — rate controlled,,Complex social situation. Homeless pre-admission. SW involved. Awaiting placement.,Mobilising with crutches NWB,Home with community nursing for wound care. Outpatient review booked.,27/02/2026,Complete,Hip hemiarthroplasty (NOF #),,,P1a - Emergency - Procedure needed within 24 hours,AMBER — antibiotic review due. Cultures pending. Micro input requested.,ORTHOPAEDICS|MONITOR|CDIFF,Active,2026-02-17T13:38:03.424294,2026-02-17T13:38:03.424294,system
KCH0024,Ms Anne Ali,339 582 1410,04/11/1951,75 yrs,Female,Cardiac HDU,Bay 1,Bed D,King's College Hospital,Dr Mensah,Dr Daniel Nwosu,Gastroenterology,Gastroenterology,03/02/2026,Acute pancreatitis,14,Surgery Admit,amber,amber,Yes,,Contraindicated — haemorrhage risk,Full diet — eating and drinking well,Non-weight bearing R leg. Hoist transfers,HR 83 | BP 108/61 | Temp 38.4°C | O2 95% | RR 19 | NEWS 2,Hb 88↓ | WCC 6.2 | Plt 156 | Na 142 | K 3.9 | Cr 62 | eGFR >90 | CRP 12 | Albumin 28↓,IDC in situ — UO monitoring. IV cannula.,Port sites clean. Day 2 post-op. No concerns.,Cognitively improved. Chest clear. Mobile.,IDC in situ — monitoring UO. IV access secure,"Paracetamol 1g QDS
Ibuprofen 400mg TDS
Omeprazole 20mg OD
Enoxaparin 40mg SC",Cognitive assessment incomplete,83,ok,108/61,warn,38.4,warn,95%,ok,19,ok,2,"Paracetamol 1g QDS
Ibuprofen 400mg TDS
Omeprazole 20mg OD
Enoxaparin 40mg SC",NSAID — GI intolerance,Omeprazole 20mg OD,4,22/02/2026,Hb 88↓ | WCC 6.2 | Plt 156 | Na 142 | K 3.9 | Cr 62 | eGFR >90 | CRP 12 | Albumin 28↓,"CT abdomen: no free gas, no collection",Sinus bradycardia 48bpm,C.diff toxin: negative,Lives with spouse. Fully independent pre-admission. No care package needed.,Walking with stick — improving,Discharge today if bloods acceptable. TTL with pharmacy.,01/03/2026,,Acute pancreatitis,,,P2b - Procedure can be deferred for up to 1 month,AMBER — NEWS 2. Increased monitoring. Senior review today.,GASTROENTEROLOGY|MONITOR|DNACPR,Active,2026-02-17T13:38:03.424335,2026-02-17T13:38:03.424335,system
KCH0025,Ms Linda Green,193 778 4475,04/08/1974,52 yrs,Female,Cardiac HDU,Bay 2,Bed B,King's College Hospital,Mr Harrington,Dr Priya Martin,Cardiology,Cardiology,29/01/2026,STEMI + primary PCI,19,Inpatient,green,None,No,,Tinzaparin 3500u SC daily,Diabetic diet. Good intake. HbA1c optimisation ongoing,"Fully mobile, no restrictions",HR 66 | BP 136/72 | Temp 36.6°C | O2 97% | RR 18 | NEWS 2,Hb 78↓↓ | WCC 18.6↑ | Plt 88↓ | Na 131↓ | K 5.2↑ | Cr 210↑ | eGFR 28 | CRP 310↑ | Lactate 3.8↑,IDC in situ — UO monitoring. IV cannula.,Sternal wound — staple line intact. Clean and dry.,Chest clear. Abdomen soft. Calves non-tender.,"Night-time confusion, falls risk HIGH","Aspirin 75mg OD
Atorvastatin 80mg ON
Bisoprolol 2.5mg OD
Ramipril 5mg OD
Enoxaparin 40mg SC",NHS continuing healthcare assessment pending,66,ok,136/72,ok,36.6,ok,97%,ok,18,ok,2,"Aspirin 75mg OD
Atorvastatin 80mg ON
Bisoprolol 2.5mg OD
Ramipril 5mg OD
Enoxaparin 40mg SC",Latex — contact dermatitis,,,,Hb 78↓↓ | WCC 18.6↑ | Plt 88↓ | Na 131↓ | K 5.2↑ | Cr 210↑ | eGFR 28 | CRP 310↑ | Lactate 3.8↑,CT chest: no PE. Bilateral consolidation — improving,AF with fast ventricular response — rate controlled,,Lives with spouse. Fully independent pre-admission. No care package needed.,Walking with stick — improving,Home with community nursing for wound care. Outpatient review booked.,19/02/2026,Complete,STEMI + primary PCI,,,P4 - Elective,,CARDIOLOGY,Active,2026-02-17T13:38:03.424374,2026-02-17T13:38:03.424374,system
